site_code ,site_units,original_file_variable,mgeo_cpop_variable_R,display_name,what_it_actually_means,units_actual,start_date,stop_date,file_source,notes
PAN-BDT,RFU,Chlorophyll RFU,Chlorophyll_RFU,Chlorophyll (RFU),Chlorophyll,RFU,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,µS/cm,Cond µS/cm,Cond_microS_cm,Conductivity (µS/cm),Conductivity,microsiemens/cm,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,m,Depth m,Depth_m,Depth (m),Depth,m,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,QSU,fDOM QSU,fDOM_QSU,fDOM (QSU),fDOM - calibrated with special solution,QSU,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,RFU,fDOM RFU,fDOM_RFU,fDOM (RFU),fDOM - calibrated with DI water,RFU,5/22/2018,5/14/2020,KorEXO,ppb QSU?
PAN-BDT,µS/cm,nLF Cond µS/cm,nLF_Cond_microS_cm,nLF Conductivity (µS/cm),nonlinear function conductivity,microsiemens/cm,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,%,ODO % sat,ODO_sat,Dissolved Oxygen (%; Raw DO reading corrected with temperature and local barometric pressure at the time of calibration),Dissolved Oxygen (%; Raw DO reading corrected with temperature and local barometric pressure at the time of calibration),%,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,%,ODO % local,ODO_local,Dissolved Oxygen (%; Raw DO reading corrected with temperature and % Sat output fixed to 100% regardless of barometric pressure entry),Raw DO reading corrected with temperature and % Sat output fixed to 100% regardless of barometric pressure entry,%,5/22/2018,5/14/2020,KorEXO,?
PAN-BDT,mg/L,ODO mg/L,ODO_mg_L,Dissolved Oxygen (mg/L; uncorrected),DO uncorrected,mg/L,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,PSI,Pressure psi a,Pressure_psi_a,Pressure (PSI),Pressure,psi,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,PSU,Sal psu,Sal_psu,Salinity (PSU),Salinity,psu,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,µS/cm,SpCond µS/cm,SpCond_microS_cm,Specific Conductivity (µS/cm),Specific Conductivity,microsiemens/cm,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,RFU,TAL PE RFU,BGA_PE_RFU,Algae (RFU),Total algae - chlorophyll,RFU,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,mg/L,TDS mg/L,TDS_mg_L,Total Dissolved Solids (mg/L),Total Dissolved Solids,mg/L,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,FNU,Turbidity FNU,Turbidity_FNU,Turbidity (FNU),Turbidity,FNU,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,mg/L,TSS mg/L,TSS_mg_L,Turbidity (FNU),Total Suspended Solids,mg/L,5/22/2018,5/14/2020,KorEXO,check
PAN-BDT,Volt,Wiper Position volt,Wiper_Position_volt,Wiper Position (V),voltage reading from wiper,V,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,pH,pH,pH,pH,pH,pH,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,mV,pH mV,pH_mV,pH (mV),pH mV,mV,5/22/2018,5/14/2020,KorEXO,ORP?
PAN-BDT,?,Temp ?C,Temp_C,Temperature (°C),Temp,°C,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,m,Vertical Position m,Vertical_Position_m,Vertical Position (m),position of sonde ,m,5/22/2018,5/14/2020,KorEXO,check
PAN-BDT,Volt,Battery V,Battery_V,Battery (V),voltage for the battery,V,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,Volt,Cable Pwr V,Cable_Pwr_V,Cable Power (V),cable power voltage,V,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,µg/L,variable not in 2018 to present data,Chlorophyll_microg_L,Chlorophyll (µg/L),chlorophyll µg,micrograms/L,5/22/2018,5/14/2020,KorEXO,
PAN-BDT,m/d/yyyy H:M,TIMESTAMP,timestamp,Timestamp,timestamp,m/d/yyyy H:M,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,RECNBR,Record,Not published,,,4/8/2015,12/31/2015,loggernet,
PAN-BDT,Degrees C,WaterTemp,Temp_C,Temperature (°C),temperature,degrees C,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,SpCond,SpCond_microS_cm,Specific Conductivity (µS/cm),specific conductivity,microsiemens/cm,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Cond,Cond_microS_cm,Condecific Conductivity (µS/cm),conductivity,microsiemens/cm,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,TDS,TDS_mg_L,Total Dissolved Solids (mg/L),TDS,mg/L,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Salinity,Sal_psu,Salinity (PSU),salinity,PSU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,ODOSat,ODO_sat,Dissolved Oxygen (%; Raw DO reading corrected with temperature and local barometric pressure at the time of calibration),ODO,%; Raw DO reading corrected with temperature and local barometric pressure at the time of calibration,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,ODO,ODO_mg_L,Dissolved Oxygen (mg/L; uncorrected),ODO,mg/L,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Pressure,Pressure_psi_a,Pressure (PSI),pressure,PSI,4/8/2015,12/31/2015,loggernet,
PAN-BDT,m,Depth,Depth,Depth (m),Depth,m,4/8/2015,12/31/2015,loggernet,
PAN-BDT,pH,PH,pH,pH,pH,,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Turbidity,Turbidity_FNU,Turbidity (FNU),Turbidity,FNU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Fchlorophyll,Chlorophyll_RFU,Chlorophyll (RFU),Chlorophyll,RFU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,MChlorophyll,Chlorophyll_microg_L,Chlorophyll (µg/L),chlorophyll,µg/L,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,FAlgae,BGA_PE_RFU,Algae (RFU),algae,RFU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Malgae,BGA_PE_microg_L,Algae (µg/L),algae,µg/L,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,fDom,fDOM_RFU,fDOM (RFU),fDOM,RFU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,QSEfDom,fDOM_QSU,fDOM (QSU),fDOM,QSU,4/8/2015,12/31/2015,loggernet,
PAN-BDT,mV,pHmv,pH_mV,pH (mV),pH,mV,4/8/2015,12/31/2015,loggernet,
PAN-BDT,,Site,site_code,Site Code,site,,1/1/2016,12/31/2016,loggernet,
PAN-BDT,m/d/yyyy H:M,Timestamp,timestamp,Timestamp,timestamp non-rounded,m/d/yyyy H:M,1/1/2016,12/31/2016,loggernet,
PAN-BDT,Degrees C,Temperature,Temp_C,Temperature (°C),temp,degrees C,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Specific Cond,SpCond_microS_cm,Specific Conductivity (µS/cm),Specific Conductivity,microsiemens/cm,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Conductivity,Cond_microS_cm,Conductivity (µS/cm),conductivity,microsiemens/cm,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,TDS,TDS_mg_L,TDS (mg/L),TDS,mg/L,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Salinity,Sal_psu,Salinity (PSU),salinity,PSU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,% sat,Dissolved Oxygen,ODO_sat,Dissolved Oxygen (%; Raw DO reading corrected with temperature and local barometric pressure at the time of calibration),ODO,%,1/1/2016,12/31/2016,loggernet,
PAN-BDT,mg/L,Dissolved Oxygen 2,ODO_mg_L,Dissolved Oxygen (mg/L; uncorrected),ODO,mg/L,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Pressure,Pressure_psi_a,Pressure (PSI),pressure,PSI,1/1/2016,12/31/2016,loggernet,
PAN-BDT,m,Depth,Depth_m,Depth (m),depth,m,1/1/2016,12/31/2016,loggernet,
PAN-BDT,pH,pH,pH,pH,pH,pH,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Turbidity,Turbidity_FNU,Turbidity (FNU),turbidity,FNU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,RFU,Chlorophyll,Chlorophyll_RFU,Chlorophyll (RFU),Chlorophyll,RFU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,microg/L,Chlorophyll 2,Chlorophyll_microg_l,Chlorophyll (µg/L),chlorophyll,microg/L,1/1/2016,12/31/2016,loggernet,
PAN-BDT,RFU,BGA-PE,BGA_PE_RFU,Algae (RFU),TAL,RFU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,microg/L,BGA-PE 2,BGA_PE_microg_L,Algae (µg/L),TAL,microg/L,1/1/2016,12/31/2016,loggernet,
PAN-BDT,RFU,FDOM,fDOM_RFU,fDOM (RFU),fDOM,RFU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,QSU,FDOM 2,fDOM_QSU,fDOM (QSU),fDOM,QSU,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Battery,Battery_V,Battery (V),battery,V,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,Site,site_code,Site Code,site code,,1/1/2016,12/31/2016,loggernet,
PAN-BDT,,TIMESTAMP,timestamp,Timestamp,timestamp non-rounded,m/d/yyyy ,1/1/2017,Present,loggernet,
PAN-BDT,,RECORD,Record,Not published,,Not published,1/1/2017,Present,loggernet,
PAN-BDT,?,WaterTemp,Temp_C,Temperature (°C),temp,?,1/1/2017,Present,loggernet,
PAN-BDT,microsiemens/cm,SpCond,SpCond_microS_cm,Specific Conductivity (µS/cm),Specific Conductivity,microsiemens/cm,1/1/2017,Present,loggernet,
PAN-BDT,microsiemens/cm,Cond,Cond_microS_cm,Conductivity (µS/cm),conductiivty,microsiemens/cm,1/1/2017,Present,loggernet,
PAN-BDT,mg/L,TDS,TDS_mg_L,Total Dissolved Solids (mg/L),tds,micrograms/L,1/1/2017,Present,loggernet,
PAN-BDT,psu,Salinity,Sal_psu,Salinity (PSU),salinity,psu,1/1/2017,Present,loggernet,
PAN-BDT,%,ODOSat,ODO_sat,Dissolved Oxygen (%; corrected for temperature and pressure),DO corrected for temp and pressure,%,1/1/2017,Present,loggernet,
PAN-BDT,%,ODO,ODO_mg_L,Dissolved Oxygen (mg/L; uncorrected),DO uncorrected,%,1/1/2017,Present,loggernet,
PAN-BDT,mg/L,Pressure,Pressure_psi_a,Pressure (PSI),pressure,mg/L,1/1/2017,Present,loggernet,
PAN-BDT,m,Depth,Depth_m,Depth (m),depth,m,1/1/2017,Present,loggernet,
PAN-BDT,pH,PH,pH,pH,pH,pH,1/1/2017,Present,loggernet,
PAN-BDT,FNU,Turbidity,Turbidity_FNU,Turbidity (FNU),Turbidity,FNU,1/1/2017,Present,loggernet,
PAN-BDT,RFU,FCholophyll,Chlorophyll_RFU,Chlorophyll (RFU),Chlorophyll,RFU,1/1/2017,Present,loggernet,
PAN-BDT,ug/L,MChlorophyll,Chlorophyll_microg_L,Chlorophyll (µg/L),Chlorophyll,micrograms/L,1/1/2017,Present,loggernet,
PAN-BDT,,FAlgae,BGA_PE_RFU,Algae (RFU),total algae,RFU,1/1/2017,Present,loggernet,
PAN-BDT,,MAlgae,BGA_PE_microg_L,Algae (µg/L),total algae,(µg/L),1/1/2017,Present,loggernet,
PAN-BDT,,fDom,fDOM_RFU,fDOM (RFU),fDOM,RFU,1/1/2017,Present,loggernet,no unit labels included - guessed on units by comparison with other data
PAN-BDT,,QSEfDom,fDOM_QSU,fDOM (QSU),fDOM,QSU,1/1/2017,Present,loggernet,no unit labels included - guessed on units by comparison with other data
PAN-BDT,mV,pHmv,pH_mV,pH (mV),pH,mV,1/1/2017,Present,loggernet,
PAN-BDT,serial number,Sonde.Model..,exo_sn,Sonde SN,sonde serial number,sn,7/10/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,Sonde.Model..,Battery_V_sn,Battery SN,sonde serial number,sn,7/11/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,FDOM,fDOM_QSU_sn,fDOM SN,sonde serial number,sn,7/12/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,TA,Chlorophyll_RFU_sn,Chlorophyll SN,sonde serial number,sn,7/13/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,TC,Cond_microS_cm_sn,Conductivity SN,sonde serial number,sn,7/14/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,DO,ODO_sat_sn,Dissolved Oxygen SN,sonde serial number,sn,7/15/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,Turb,Turbidity_FNU_sn,Turbidity SN,sonde serial number,sn,7/16/2016 23:59,Present,Deployment record,
PAN-BDT,serial number,Depth,Depth_m,Depth SN,sonde serial number,sn,7/17/2016 23:59,Present,Deployment record,
USA-IRL,RFU,BGA PE RFU,BGA_PE_RFU,Algae (RFU),TAL,RFU,9/20/2014 0:00,Present,KorEXO,
USA-IRL,µg/L,BGA PE ug L,BGA_PE_microg_L,Algae (µg/L),TAL,µg/L,9/21/2014 0:00,Present,KorEXO,
USA-IRL,date,Date (MM/DD/YYYY),Date_MM_DD_YYYY,Not published,date,m-d-y,2019,Present,KorEXO,"NOTE: data prior to 2019 (2014-2017) has some different naming conventions - I will update this sheet soon to include those. See also the tab ""Names by QAQC level - SMS"""
USA-IRL,time,Time (HH:mm:ss),Time_HH_mm_ss,Not published,time,h:m:s,2019,Present,KorEXO,
USA-IRL,,Time (Fract. Sec),Time_Fract_Sec,Not published,not age,Not published,2019,Present,KorEXO,
USA-IRL,site name,Site Name,Site_Name,Not published,empty/not used - gets deleted,site name,2019,Present,KorEXO,
USA-IRL,RFU,Chlorophyll RFU,Chlorophyll_RFU,Chlorophyll (RFU),Chlorophyll,RFU,2019,Present,KorEXO,
USA-IRL,ug/L,Chlorophyll ug/L,Chlorophyll_microg_L,Chlorophyll (µg/L),Chlorophyll,µg/L,2019,Present,KorEXO,
USA-IRL,µS/cm,Cond µS/cm,Cond_microS_cm,Conductivity (µS/cm),conductivity,µS/cm,2019,Present,KorEXO,
USA-IRL,QSU,fDOM QSU,fDOM_QSU,fDOM (QSU),fDOM,QSU,2019,Present,KorEXO,
USA-IRL,RFU,fDOM RFU,fDOM_RFU,fDOM (RFU),fDOM,RFU,2019,Present,KorEXO,
USA-IRL,m,Depth m,Depth_m,Depth (m),Depth,m,2019,Present,KorEXO,
USA-IRL,µS/cm,nLF Cond µS/cm,nLF_Cond_microS_cm,nLF Cond (µS/cm),nonlinear function conductivity,µS/cm,2019,Present,KorEXO,
USA-IRL,% sat,ODO % sat,ODO_sat,ODO (% sat),ODO,% sat,2019,Present,KorEXO,
USA-IRL,% local,ODO % local,ODO_local,ODO (% local),ODO,% local,2019,Present,KorEXO,
USA-IRL,mg/L,ODO mg/L,ODO_mg_L,ODO (mg/L),ODO,mg/L,2019,Present,KorEXO,
